item_id	status	primary_locations	notes
C-19	FOUND	configs/babilong_around7b_16k_extension_confirmatory.json; artifacts/around7b_formal/analysis.json	Fixed-slot and co-scaled controls.
C-20	FOUND	experiments/run_babilong_prompt.py	extract_task_answer is shared across arms.
C-21	FOUND	experiments/run_babilong_prompt.py; experiments/analyze_babilong_canonical_coscale_16k_confirmation.py	Row scores and panel-level BABILong accuracy.
C-22	FOUND	ascent/ruler_metrics.py; experiments/run_ruler_aggregation_certified.py; experiments/run_ruler_niah.py	CWE and NIAH scoring.
C-23	FOUND	experiments/run_noisy_composition_candidate.py	Candidate-normalized joint two-token NLL over 00..14.
C-24	FOUND	experiments/run_noisy_composition_candidate.py	Endpoint preflight records equal two-token candidate boundaries; stored in every result file.
C-25	FOUND	ascent/certified_channel.py; experiments/prepare_noisy_composition_sum_candidate.py; experiments/analyze_noisy_composition_candidate.py	Exact posterior construction and comparison.
C-26	PARTIAL	experiments/analyze_noisy_composition_candidate.py; artifacts/sum_numeric_candidate/confirmation_analysis.json	Checks all 13,824 transitions and reports 6x2304, but does not emit a separate 13,824-row audit table.
C-27	FOUND	experiments/fetch_babilong_official_source.py; experiments/prepare_babilong_panel.py; data/babilong_16k_canonical_confirmation/MANIFEST.json	Official 16K 10x80 panel freeze.
C-28	FOUND	experiments/prepare_noisy_composition_sum_candidate.py; data/posttraining_noisy_composition_sum_numeric_candidate/	Panel 1 development plus panels 2..10 confirmation.
C-29	FOUND	data/posttraining_noisy_composition_sum_numeric_candidate/sum_numeric_candidate_panel_1.jsonl; configs/posttraining_noisy_composition_sum_numeric_candidate.json	Factorial development/interface-selection panel.
C-30	FOUND	experiments/prepare_babilong_semantic_holdout.py	Score-blind selection.
C-31	FOUND	experiments/prepare_babilong_semantic_holdout.py; data/babilong_train_8k_semantic_holdout_confirmation/MANIFEST.json	Task+question+target-blind event fingerprint exclusion and zero-overlap manifest.
C-32	FOUND	experiments/prepare_babilong_panel.py; data/babilong_1k_4k/; data/babilong_1k_8k/; data/babilong_official_qa78_8k/	4K/8K panel builders and frozen files.
C-33	PARTIAL	configs/ruler_cwe_smollm2_8k_certified_confirmatory.json; configs/ruler_cwe_qwen2p5_16k_certified_confirmatory.json; configs/ruler_niah_qwen_full_context_16k_multiquery_confirmation_manifest.json; data/ruler_cwe_confirm_seed382101_8k_safe/	Frozen RULER seeds/hashes and local CWE panels exist; NIAH inputs are retained in result archives rather than a dedicated builder in this repository.
C-34	FOUND	experiments/analyze_babilong_canonical_coscale_16k_confirmation.py; experiments/analyze_babilong_canonical_semantic_holdout.py	Panel-clustered paired statistics.
C-35	FOUND	experiments/analyze_babilong_canonical_coscale_16k_confirmation.py; experiments/analyze_babilong_canonical_semantic_holdout.py	Holm step-down family.
C-36	FOUND	experiments/analyze_noisy_composition_candidate.py; artifacts/sum_numeric_candidate/confirmation_analysis.json	Bonferroni simultaneous eight-estimand intervals.
C-37	FOUND	experiments/analyze_noisy_composition_candidate.py; experiments/analyze_babilong_around7b_extension.py	Student-t panel intervals and adjacent contrasts.
C-38	PARTIAL	configs/babilong_qwen2p5_canonical_coscale_16k_confirmatory.json; configs/posttraining_noisy_composition_sum_numeric_candidate.json; docs/EXPERIMENT_LEDGER.md	Hashes, revisions, decisions, run commits and chronology exist; no standalone signed preregistration record.
C-39	ABSENT	-	No power/sample-size/MDE script found.
C-40	FOUND	experiments/run_babilong_prompt.py	Foundation-only arm.
C-41	FOUND	configs/babilong_around7b_16k_extension_confirmatory.json; artifacts/around7b_formal/analysis.json	Fixed versus co-scaled states.
C-42	FOUND	ascent/babilong_controls.py; experiments/run_babilong_prompt.py	Matched exact raw-event FIFO.
C-43	FOUND	ascent/babilong_controls.py; configs/babilong_smollm2_8k_neural_controls_confirmatory.json	Byte-matched FIFO protocol.
C-44	FOUND	ascent/generic_retrieval.py; experiments/run_babilong_prompt.py	Lexical BM25-style retrieval.
C-45	FOUND	experiments/prepare_babilong_bge_cache.py; configs/babilong_bge_m3_retrieval_protocol.json	BGE-M3 dense+lexical RRF cache.
C-46	FOUND	experiments/prepare_babilong_bge_cache.py; configs/babilong_bge_m3_retrieval_protocol.json	RRF reranking protocol.
C-47	FOUND	experiments/analyze_static_replay_control.py; experiments/analyze_static_replay_panel.py; artifacts/remote_results/static_replay_same_flop_bbe577c.tar.gz	Same-FLOP static replay.
C-48	FOUND	experiments/run_babilong_prompt.py; configs/babilong_smollm2_4k_robustness_confirmatory.json	Irrelevant-state control.
C-49	FOUND	experiments/run_babilong_prompt.py; configs/babilong_smollm2_4k_robustness_confirmatory.json	Corrupted-state control.
C-50	FOUND	ascent/fusion.py; experiments/run_ruler_aggregation_certified.py; experiments/run_babilong_prompt.py	Certified-only logic for RULER and BABILong certified-evidence readout.
C-51	FOUND	ascent/fusion.py; experiments/run_latent_replay_factorial.py	Latent-only path.
C-52	FOUND	ascent/fusion.py	Fused path and cross-fit selection.
C-53	FOUND	experiments/run_babilong_qrag_retrieval.py; experiments/run_babilong_qrag_reader.py; configs/babilong_qrag_direct_peer_frozen.json	Released Q-RAG QA2/QA3 checkpoint evaluation on matched panels.
C-54	FOUND	experiments/run_babilong_prompt.py; experiments/analyze_babilong_systems.py; artifacts/remote_results/babilong_4k_systems/	Fresh-process decode measurements and median analysis.
C-55	FOUND	ascent/state_accounting.py; experiments/run_babilong_prompt.py	Persistent/write/read state byte accounting.
C-56	FOUND	experiments/analyze_babilong_systems.py	State/model byte ratios.
C-57	FOUND	experiments/profile_babilong_flops.py; experiments/analyze_babilong_flops_profile.py	Torch-profiler supported-operator FLOPs.
C-58	FOUND	experiments/profile_babilong_flops.py; artifacts/remote_results/flops_e49eae9/analysis.json	Profiler-enclosed wall time.
C-59	PARTIAL	configs/babilong_smollm2_4k_systems.json; artifacts/remote_results/babilong_4k_systems/	18 process-level files exist; isolation is described by config/results but no standalone process-orchestrator script was found.
C-60	DISTRIBUTED	experiments/render_paper_qwen_confirmation_table.py; experiments/render_paper_additional_tables.py; experiments/render_cross_task_table.py; supplementary/REPRODUCE.md	All tables are CPU-recomputable, but through three commands rather than one monolithic command.
C-61	FOUND	experiments/plot_qwen_primary_evidence.py; paper/data/evidence/primary_panel.csv	Figure 2 data/plot path.
C-62	FOUND	experiments/plot_manuscript_evidence.py; paper/data/evidence/factorial_panel.csv; paper/data/evidence/interaction_intervals.csv	Figure 3 trajectories and intervals.
C-63	FOUND	experiments/plot_manuscript_evidence.py; paper/data/evidence/around7b_panel.csv	Figure 4 breadth plot.
C-64	FOUND	experiments/plot_ascent_method.py; experiments/generate_ascent_schematic_variants.py; paper/figures/ascent_method.svg	Figure 1 editable SVG and generators.
C-65	FOUND	experiments/audit_manuscript_consistency.py; experiments/audit_paper_claims.py; experiments/export_manuscript_evidence.py	Displayed-value reconciliation and immutable evidence export.
C-66	PARTIAL	experiments/plot_manuscript_evidence.py; paper/figures/*_grayscale.png	Color and grayscale files are generated; no dedicated automated grayscale legibility validator.
D-01	FOUND	experiments/fetch_babilong_official_source.py; artifacts/babilong_official_16k_qa23_source/SOURCE_MANIFEST.json	Official 16K source revision and hashes.
D-02	FOUND	experiments/fetch_babilong_official_source.py; artifacts/babilong_official_8k_source/SOURCE_MANIFEST.json; data/babilong_1k_4k/MANIFEST.json; data/babilong_1k_8k/MANIFEST.json	Official 4K/8K source and panel manifests.
D-03	FOUND	artifacts/babilong_train_8k_qa23_source/SOURCE_MANIFEST.json; experiments/prepare_babilong_semantic_holdout.py	Training-generation source and selection method.
D-04	FOUND	configs/ruler_cwe_smollm2_8k_certified_confirmatory.json; configs/ruler_cwe_qwen2p5_16k_certified_confirmatory.json; configs/ruler_niah_qwen2p5_full_context_16k_multiquery_width_linear_confirmatory.json	RULER task/length/seed configurations.
D-05	FOUND	experiments/prepare_noisy_composition_sum_candidate.py; ascent/certified_channel.py	Synthetic categorical observation generator and seeds.
D-06	FOUND	data/babilong_16k_canonical_confirmation/MANIFEST.json; data/babilong_16k_canonical_confirmation/canonical_16k_confirmation_panel_*.jsonl	Ten official 16K panels and hashes.
D-07	FOUND	data/babilong_train_8k_semantic_holdout_confirmation/MANIFEST.json; data/babilong_train_8k_semantic_holdout_confirmation/canonical_train_8k_semantic_panel_*.jsonl	800 rows, fingerprints and zero-overlap record.
D-08	FOUND	data/posttraining_noisy_composition_sum_numeric_candidate/MANIFEST.json; data/posttraining_noisy_composition_sum_numeric_candidate/sum_numeric_candidate_panel_*.jsonl	Nine untouched 256-row confirmation panels plus development panel.
D-09	FOUND	data/posttraining_noisy_composition_sum_numeric_candidate/sum_numeric_candidate_panel_1.jsonl; configs/babilong_qwen2p5_canonical_coscale_development.json; data/babilong_1k_8k/	Factorial and BABILong development/interface panels.
D-10	PARTIAL	data/babilong_1k_4k/; data/babilong_1k_8k/; data/ruler_cwe_confirm_seed382101_8k_safe/; configs/ruler_niah_qwen_full_context_16k_multiquery_confirmation_manifest.json	BABILong and CWE panel IDs are directly present; NIAH matched rows are inside archived results/manifests.
D-11	FOUND	configs/babilong_qrag_direct_peer_frozen.json; artifacts/remote_results/babilong_qrag_direct_peer_89a8280/analysis.json	Q-RAG manifest pins the same official 16K panel hashes.
D-12	FOUND	artifacts/remote_results/babilong_qwen_canonical_16k_confirmation_4fd25e9/canonical/	0.5B/1.5B/3B row predictions, normalized answers and scores.
D-13	FOUND	artifacts/around7b_formal/qwen2p5-7b/canonical_slots_4/; artifacts/around7b_formal/analysis.json	Qwen2.5-7B ten-panel paired outputs.
D-14	FOUND	artifacts/remote_results/babilong_qwen_canonical_semantic_holdout_b7480e6/	Three-scale semantic-holdout row outputs.
D-15	FOUND	artifacts/remote_results/babilong_qwen_canonical_16k_confirmation_4fd25e9/canonical/3b/; artifacts/remote_results/babilong_qwen_canonical_16k_confirmation_4fd25e9/raw/3b/; artifacts/remote_results/babilong_qwen_canonical_16k_confirmation_4fd25e9/analysis.json	Canonical/raw row outputs and Foundation equality audit.
D-16	FOUND	artifacts/sum_numeric_candidate/confirmation/; artifacts/sum_numeric_candidate/confirmation_analysis.json	81 result files, each with 256 probability vectors and NLLs.
D-17	PARTIAL	artifacts/sum_numeric_candidate/confirmation/; artifacts/sum_numeric_candidate/confirmation_analysis.json	All raw rows and 6x2304 transition counts exist, but not a standalone flattened 13,824-row result file.
D-18	FOUND	artifacts/around7b_formal/; artifacts/array_third_node_audit/	Five 7B/8B readers, ten panels each, plus third-node rerun.
D-19	FOUND	artifacts/remote_results/babilong_qrag_direct_peer_89a8280/retrieval/; artifacts/remote_results/babilong_qrag_direct_peer_89a8280/readers/; artifacts/remote_results/babilong_qrag_direct_peer_89a8280/analysis.json	Matched Q-RAG retrieval/reader rows and analysis.
D-20	FOUND	artifacts/remote_results/cwe_confirm_c749f24/; artifacts/remote_results/qwen_cwe_confirm_cd8352f/	SmolLM2 and Qwen2.5 CWE row-output archives/analyses.
D-21	FOUND	artifacts/remote_results/qwen_niah_fullctx_16k_multiquery_width_linear_confirmation_372xxx.tar.gz; artifacts/remote_results/smollm2_4k_multiquery_width075_confirm_376101_376202_376303.tar.gz	Qwen2.5 and SmolLM2 NIAH multiquery raw archives.
D-22	FOUND	artifacts/remote_results/babilong_4k_scale_confirm_c075cec.tar.gz; artifacts/remote_results/babilong_8k_confirm_440ef7f.tar.gz; artifacts/remote_results/babilong_4k_robustness_d93ff34.tar.gz	BABILong 4K/8K row-output archives.
D-23	FOUND	artifacts/remote_results/babilong_8k_generative_factorial_audit_693c414/; artifacts/remote_results/babilong_qa78_certified_factorial_ab4222a/	SmolLM2 generative/certified factorial rows and analyses.
D-24	DISTRIBUTED	artifacts/remote_results/babilong_8k_neural_controls_072adbd.tar.gz; artifacts/remote_results/static_replay_same_flop_bbe577c.tar.gz; artifacts/remote_results/babilong_4k_robustness_d93ff34.tar.gz; artifacts/remote_results/babilong_qa78_certified_controls_8bb6f1d/	Control-arm outputs are complete across several archives rather than one folder.
D-25	FOUND	artifacts/remote_results/babilong_4k_systems/node1/; artifacts/remote_results/babilong_4k_systems/node2/; artifacts/remote_results/babilong_4k_systems/analysis.json	18 fresh-process timing records and analysis.
D-26	FOUND	paper/data/evidence/; artifacts/remote_results/babilong_qwen_canonical_16k_confirmation_4fd25e9/analysis.json; artifacts/sum_numeric_candidate/confirmation_analysis.json; artifacts/around7b_formal/analysis.json	Immutable source analyses and consolidated evidence profile.
D-27	FOUND	paper/data/evidence/primary_panel.csv; paper/data/evidence/factorial_panel.csv; paper/data/evidence/around7b_panel.csv; paper/data/evidence/systems.csv	Panel-level exported CSVs.
D-28	FOUND	artifacts/remote_results/babilong_qwen_canonical_16k_confirmation_4fd25e9/analysis.json; artifacts/remote_results/babilong_qwen_canonical_semantic_holdout_b7480e6/analysis.json; artifacts/sum_numeric_candidate/confirmation_analysis.json; artifacts/around7b_formal/analysis.json	Panel values, differences, SEs, intervals and p-values.
D-29	PARTIAL	experiments/export_manuscript_evidence.py; experiments/plot_qwen_primary_evidence.py; experiments/plot_manuscript_evidence.py; paper/data/evidence/	Deterministic row-to-plot transformation exists; no separate point-by-point figure-element provenance document.
D-30	FOUND	backups/ASCENT_GPU_FINAL_20260823/PROJECT_FILES_SHA256.tsv; data/*/MANIFEST.json; artifacts/remote_results/babilong_qwen_canonical_16k_confirmation_4fd25e9/SHA256SUMS.txt	Global backup file-size/SHA manifest plus per-dataset manifests.
D-31	FOUND	configs/babilong_qwen2p5_canonical_coscale_16k_confirmatory.json; configs/babilong_around7b_16k_extension_confirmatory.json; configs/babilong_qrag_direct_peer_frozen.json; backups/ASCENT_GPU_FINAL_20260823/MODEL_REDOWNLOAD_RECORDS.json	Model revisions and exact weight-file hashes without redistributed public weights.
D-32	FOUND	data/*/MANIFEST.json; configs/ruler_niah_qwen_full_context_16k_multiquery_confirmation_manifest.json; reproduction/core_manifest.json	Immutable data/result manifests.
D-33	FOUND	data/babilong_16k_canonical_confirmation/MANIFEST.json; data/babilong_train_8k_semantic_holdout_confirmation/MANIFEST.json; configs/babilong_qwen2p5_canonical_coscale_16k_confirmatory.json	Frozen panel hashes.
D-34	FOUND	artifacts/*/analysis.json; artifacts/remote_results/*/analysis.json; docs/EXPERIMENT_LEDGER.md	Result payloads record config SHA and run git commit; chronology in ledger.
E-01	FOUND	reproduction/environment.json; reproduction/requirements-core.txt; ASCENT_CORE_IMPLEMENTATION/requirements-exact.txt; backups/ASCENT_GPU_FINAL_20260823/ASCENT_GPU_FINAL_20260823.tar.zst::root/autodl-tmp/ASCENT_GPU_FINAL_20260823_META/BACKUP_METADATA/PROJECT_VENV_PIP_FREEZE.txt	Portable pins plus full environment capture inside backup archive.
E-02	FOUND	reproduction/environment.json; backups/ASCENT_GPU_FINAL_20260823/ASCENT_GPU_FINAL_20260823.tar.zst::root/autodl-tmp/ASCENT_GPU_FINAL_20260823_META/BACKUP_METADATA/NVIDIA_SMI.txt	CUDA/cuDNN/driver/GPU capture.
E-03	PARTIAL	reproduction/environment.json; artifacts/array_third_node_audit/analysis.json; backups/ASCENT_GPU_FINAL_20260823/ASCENT_GPU_FINAL_20260823.tar.zst::root/autodl-tmp/ASCENT_GPU_FINAL_20260823_META/BACKUP_METADATA/{CPU,MEMORY,NVIDIA_SMI}.txt	Node1/2 GPU/runtime records and one full backup hardware snapshot exist; full CPU/RAM snapshots for all three physical nodes were not found.
E-04	ARCHIVED_ONLY	backups/ASCENT_GPU_FINAL_20260823/ASCENT_GPU_FINAL_20260823.tar.zst::root/autodl-tmp/ASCENT_GPU_FINAL_20260823_META/BACKUP_METADATA/{CONDA_ENV_EXPORT,CONDA_EXPLICIT,PROJECT_VENV_PIP_FREEZE}.txt	Full conda/pip exports are preserved inside verified backup archive.
E-05	FOUND	configs/*.json; data/*/MANIFEST.json	Sampling, generation and run seeds are frozen per experiment/config.
E-06	PARTIAL	experiments/run_babilong_prompt.py; experiments/run_noisy_composition_candidate.py; configs/*.json	Greedy decoding, dtype, revisions and seeds are fixed; no repository-wide torch.use_deterministic_algorithms/TF32 policy file was found.
E-07	FOUND	configs/babilong_qwen2p5_canonical_coscale_16k_confirmatory.json; configs/babilong_around7b_16k_extension_confirmatory.json; configs/babilong_qa78_certified_factorial_smollm2_8k_frozen.json; configs/babilong_bge_m3_retrieval_protocol.json; configs/babilong_qrag_direct_peer_frozen.json	All requested Qwen, Qwen3, Mistral, Falcon, Granite, SmolLM2, BGE-M3 and Q-RAG revisions are present.
R-01	FOUND	artifacts/sum_numeric_candidate/audit_node2/rounds_5_sum_numeric_candidate_panel_1_qwen2p5-7b-instruct.json	256 probability vectors/NLLs from node-2 audit.
R-02	FOUND	artifacts/sum_numeric_candidate/development/node1/rounds_5_sum_numeric_candidate_panel_1_qwen2p5-7b-instruct.json; artifacts/sum_numeric_candidate/audit_node2/rounds_5_sum_numeric_candidate_panel_1_qwen2p5-7b-instruct.json; experiments/compare_factorial_cross_node.py; reports/FACTORIAL_CROSS_NODE_EXACT_AUDIT_2026-09-20.json	Correct matched panel-1 pair identified and independently compared: all scientific fields, 256 prediction records, 512 arm-level 15-way vectors, 7,680 probabilities and 768 row-level NLL values are binary64-identical after JSON parsing.
R-03	FOUND	artifacts/array_third_node_audit/qwen3-8b-panel*-audit-rerun.json; artifacts/array_third_node_audit/analysis.json	800 paired predictions and scientific fields.
R-04	FOUND	experiments/analyze_array_third_node_audit.py; artifacts/array_third_node_audit/analysis.json	Original-vs-third-node comparison and all-exact flags.
R-05	PARTIAL	reproduction/environment.json; artifacts/array_third_node_audit/analysis.json; backups/ASCENT_GPU_FINAL_20260823/ASCENT_GPU_FINAL_20260823.tar.zst	Node1/2 runtime snapshots and one complete system archive exist; third-node full pip/CPU/RAM snapshot was not found.
R-06	FOUND	reports/FACTORIAL_CROSS_NODE_EXACT_AUDIT_2026-09-20.json; experiments/compare_factorial_cross_node.py; artifacts/around7b_crossnode/qwen7b-panel1-exact-audit.json; artifacts/array_third_node_audit/analysis.json	The factorial audit now defines exactness as identical scientific records plus identical IEEE-754 binary64 bytes for every parsed stored probability and row NLL; runtime-only timestamp/hostname/wall-time fields are excluded.
W-01	FOUND	supplementary/README.md; supplementary/REPRODUCE.md; reproduction/README.md	Repository/reproduction navigation and table commands.
W-02	PARTIAL	ASCENT_CORE_IMPLEMENTATION/VERIFICATION.md; supplementary/REPRODUCE.md; reports/ASCENT_REPRO_MATERIAL_LOCATION_AUDIT_2026-09-20.md; reports/ASCENT_SECOND_PASS_EVIDENCE_AUDIT_2026-09-20.md; reports/FACTORIAL_CROSS_NODE_EXACT_AUDIT_2026-09-20.json	Location traceability and an exact cross-node definition now exist, but the requested public VERIFICATION.md still lacks the full 13,824-row construction and freeze timeline in one reader-facing document.
W-03	ABSENT	-	No AI_ASSISTANCE.md found.
W-04	PARTIAL	ascent/babilong_memory.py; docs/EXPERIMENT_PROTOCOL.md; docs/DESIGN_RISKS.md	Schema and design rationale exist in code/docs, but no single writer-schema limitations document.
W-05	ABSENT	-	No repository code LICENSE file found.
W-06	ABSENT	-	No artifact/data CC-BY license file found.
W-07	FOUND	backups/ASCENT_GPU_FINAL_20260823/PUBLIC_MODEL_WEIGHTS_NOT_COPIED.json; backups/ASCENT_GPU_FINAL_20260823/MODEL_REDOWNLOAD_RECORDS.json	Third-party weights excluded; redownload metadata retained.
W-08	ABSENT	-	No Zenodo DOI/version record found.
W-09	PARTIAL	docs/EXPERIMENT_LEDGER.md; configs/*confirmatory*.json; git history	Chronology, frozen configs, hashes and commits exist; no standalone preregistration timeline document.
S-01	PARTIAL	experiments/build_neural_networks_supplement.py	Builder scans/normalizes packaged paths, but no saved exhaustive whole-repository scan report.
S-02	FOUND	reports/ASCENT_SECOND_PASS_EVIDENCE_AUDIT_2026-09-20.md	All 1,535 reachable unique Git blobs were scanned without exposing matched values: 1,527 ordinary blobs plus all eight large archive blobs, whose current files exactly match their Git object IDs and were decompressed-stream scanned. No high-signal credential or assignment-style secret was found.
S-03	FOUND	reports/ASCENT_SECOND_PASS_EVIDENCE_AUDIT_2026-09-20.md; experiments/build_neural_networks_supplement.py; backups/ASCENT_GPU_FINAL_20260823/EXCLUDED_PATHS.tsv	Independent scans found no HF/OpenAI/GitHub/AWS/Google/Slack token, private-key header, or credential-style assignment in Git history, the current Array supplement, historical submission archives, or the three retained zstd backups.
S-04	FOUND	backups/ASCENT_GPU_FINAL_20260823/PUBLIC_MODEL_WEIGHTS_NOT_COPIED.json; backups/ASCENT_GPU_FINAL_20260823/EXCLUDED_PATHS.tsv	Public model weights intentionally excluded from backup/package.
S-05	MISMATCH	data/; artifacts/babilong_official_16k_qa23_source/	Local repository does contain BABILong source/panel bodies. Whether they are redistributed depends on the selected release package; this checklist item is not satisfied by the full working tree.
S-06	PARTIAL	supplementary/verify.py; supplementary/REPRODUCE.md; ASCENT_CORE_IMPLEMENTATION/VERIFICATION.md	Integrity/tests are documented, but no saved fresh-clone end-to-end C-60 transcript for the current full package.
